Fault ID,Fault Description,Fault Type,Fault Injection Code
35,Map fails to load custom layers,UI Fault,"google.maps.ImageMapType.prototype.getTile = function(coord, zoom) {throw new Error('Failed to load custom layer');};"
36,Markers fail to update on zoom change,Network Fault,"google.maps.event.addListener(map, 'zoom_changed', function() {marker.setMap(null);});"
37,Route calculation fails due to API issue,Network Fault,google.maps.DirectionsService.prototype.route = function() { throw new Error('Route Calculation Failed'); };
38,Markers not updated after location search,Functional Fault,"google.maps.event.addListener(map, 'bounds_changed', function() {marker.setMap(null);});"
39,Place details not loading properly,Functional Fault,"google.maps.places.PlacesService.prototype.getDetails = function(request, callback, errorCallback) {errorCallback({ message: 'Failed to load place details' });};"
40,Geolocation not updating after page reload,Functional Fault,"navigator.geolocation.getCurrentPosition = function(success, error) {error({ message: 'Geolocation error', code: 1 });};"
41,Error handling for user input is missing,Network Fault,"google.maps.event.addListener(map, 'click', function() {throw new Error('User input error');});"
42,Markers fail to load after page refresh,UI Fault,if (window.performance && performance.navigation.type == 1) {marker.setMap(null);}
43,Street View freezes or does not load properly,Functional Fault,map.getStreetView().setVisible(false);
44,Custom styling of markers does not apply,UI Fault,marker.setIcon(null); marker.setLabel('');
45,Map fails to center after user input,Functional Fault,"google.maps.event.addListener(map, 'center_changed', function() {map.setCenter(new google.maps.LatLng(0, 0));});"
